,District,Latitude,longitude,ACTIVE CASES,CONFIRMED CASES,DECEASED CASES,RECOVERED CASES
444,Subarnapur,27.2274941,84.71486464642322,330,4344,14,4000
445,Sundargarh,22.13327195,83.97965279931319,909,10647,67,9671
446,Amritsar,31.6343083,74.8736788,277,11709,445,10987
447,Barnala,30.3704685,75.504017418548,188,2050,49,1813
448,Bathinda,30.17911535,75.04710156312628,336,6933,144,6453
449,Faridkot,30.60092505,74.79477422840449,144,3159,54,2961
450,Fatehgarh Sahib,30.6600764,76.38002163710028,61,2142,99,1982
451,Fazilka,30.336099599999997,74.11794319222481,161,2931,47,2723
452,Ferozepur,30.6839733,76.3594033,152,4166,121,3893
453,Gurdaspur,31.904229899999997,75.22738141098935,177,6832,196,6459
454,Hoshiarpur,31.60857425,75.84644246890946,217,6034,206,5611
455,Jalandhar,31.29201065,75.56805772253911,539,14813,460,13814
456,Kapurthala,31.38524095,75.30552273989395,141,4002,165,3696
457,Ludhiana,30.9090157,75.851601,208,20046,830,19008
458,Mansa,29.8769971,75.4889866137018,80,1879,35,1764
459,Moga,30.7839866,75.16057422541162,25,2445,79,2341
460,Pathankot,32.301710400000005,75.65864246622084,145,4374,107,4122
461,Patiala,30.2090874,76.3398720856221,281,12650,374,11995
462,Rupnagar,31.09168085,76.5272673916138,169,2432,111,2152
463,S.A.S. Nagar,30.8823935,75.8703501,559,12120,233,11328
464,Sangrur,30.2093363,75.8184224340909,80,3869,164,3625
466,Sri Muktsar Sahib,30.4692,74.5182,148,2952,61,2743
467,Tarn Taran,31.32124525,74.84130629340785,88,1981,84,1809
468,Karaikal,11.7003,75.5425,237,3374,55,3082
469,Mahe,-4.68379555,55.49263800753758,129,839,6,704
470,Puducherry,10.91564885,79.80694879844232,3306,28213,485,24422
471,Yanam,16.7333666,82.2145164,86,1910,42,1782
472,Ajmer,26.4691,74.639,264,9463,136,9063
473,Alwar,27.639077049999997,76.6144524902045,380,14423,53,13990
474,Banswara,23.4930788,74.34840231310622,84,1492,26,1382
475,Baran,24.9171512,76.69640322489136,94,1478,26,1358
476,Barmer,25.5819034,71.61966242777196,190,3312,34,3088
477,Bharatpur,27.26521245,77.36912554739122,230,5655,92,5333
478,Bhilwara,25.48877345,74.69961283584024,170,5811,30,5611
479,Bikaner,28.0159286,73.3171367,1093,12550,136,11321
480,BSF Camp,23.2200507,69.6614313,0,85,0,85
481,Bundi,25.5,75.833333,113,1449,9,1327
482,Chittorgarh,24.718026000000002,74.47214697200876,168,2215,28,2019
483,Churu,28.2061443,74.69190729963461,232,2793,22,2539
484,Dausa,26.80486585,76.44374569929329,137,1522,11,1374
485,Dholpur,26.7009896,77.8967857,85,3293,29,3179
487,Evacuees,51.4552682,-2.5898439,0,61,0,61
488,Ganganagar,23.7497214,91.87663495294915,317,3245,25,2903
490,Italians,-28.7975284,-52.51486055969363,0,2,0,2
491,Jaipur,26.916194,75.820349,4836,31701,365,26500
492,Jaisalmer,27.02801615,70.7785056232077,171,1167,14,982
493,Jalore,25.3476006,72.6260916,326,3666,36,3304
494,Jhalawar,24.3132368,76.52223626123003,94,2616,13,2509
495,Jhunjhunu,28.1287995,75.3992581,211,2677,27,2439
496,Jodhpur,26.2967719,73.0351433,4741,28220,178,23301
497,Karauli,26.51668105,77.05772976517363,95,1141,14,1032
498,Kota,25.1968256,76.00089330885552,323,10761,116,10322
499,Nagaur,27.0607859,74.17667537582712,305,5211,56,4850
500,Pali,25.6040908,73.41560878556902,214,7111,74,6823
501,Pratapgarh,25.87789395,81.82824248044966,51,920,14,855
502,Rajsamand,25.29131615,73.8244924740361,146,2380,28,2206
503,Sawai Madhopur,26.22914115,76.30453277017932,119,1116,21,976
504,Sikar,27.662826000000003,75.02792628691331,310,5706,53,5343
505,Sirohi,24.811404699999997,72.83002573160249,94,2358,25,2239
506,Tonk,26.12214725,75.66375373932236,98,1719,25,1596
507,Udaipur,24.578721,73.6862571,192,6583,68,6323
508,East Sikkim,27.601029,88.45413638680145,337,1446,3,1106
509,North Sikkim,27.601029,88.45413638680145,0,1,0,1
510,South Sikkim,27.601029,88.45413638680145,402,475,0,73
511,West Sikkim,27.601029,88.45413638680145,72,87,0,15
512,Adilabad,19.5,78.5,2077,2092,0,15
513,Bhadradri Kothagudem,17.71534525,80.57149761778712,5857,5861,0,4
514,Hyderabad,17.38878595,78.46106473453146,67333,67661,23,305
515,Jagtial,18.82135895,78.91506632525903,4454,4456,0,2
516,Jangaon,17.7265463,79.25901524867399,2829,2830,0,1
517,Jayashankar Bhupalapally,18.515987199999998,79.96939659792528,1742,1742,0,0
518,Jogulamba Gadwal,16.0999202,77.73415835077523,2947,2973,1,25
519,Kamareddy,18.316551,78.05393808043348,4684,4692,0,8
520,Karimnagar,18.4346438,79.1322648,10544,10560,0,16
521,Khammam,17.5,80.333333,7818,7821,0,3
523,Mahabubabad,17.7138983,80.04134252767227,4411,4412,0,1
524,Mahabubnagar,16.696568550000002,77.95911462089693,3931,3939,0,8
525,Mancherial,18.8761795,79.4449696,3833,3834,1,0
526,Medak,17.9375095,78.21174498510584,2796,2800,0,4
527,Medchal Malkajgiri,17.53498345,78.52463873502381,14432,14442,1,9
528,Mulugu,18.1932372,79.9413676,1926,1928,0,2
529,Nagarkurnool,16.415762649999998,78.68304333132829,3242,3244,0,2
530,Nalgonda,16.8579636,79.21749353315548,9587,9599,0,12
531,Narayanpet,16.700551750000002,77.61648447017446,981,982,1,0
532,Nirmal,19.091520950000003,78.39660898429065,1960,1973,0,13
533,Nizamabad,26.055317950000003,82.99313867937335,6851,6881,0,30
534,Peddapalli,18.62065305,79.49501710882896,4430,4431,0,1
535,Rajanna Sircilla,18.452116,78.76455837158737,3915,3917,0,2
536,Ranga Reddy,12.9554461,80.2530374,19145,19164,2,17
537,Sangareddy,17.86859205,77.8228199507381,6205,6211,0,6
538,Siddipet,18.005585099999998,78.89611304969961,6366,6367,0,1
539,Suryapet,17.08001385,79.7925329742427,5448,5472,0,24
540,Vikarabad,17.2702855,77.74529700637382,1763,1779,1,15
541,Wanaparthy,16.285294399999998,77.98644727021286,2918,2918,0,0
542,Warangal Rural,17.94854255,79.81612399359742,2815,2815,0,0
543,Warangal Urban,18.02625695,79.46444493996634,9098,9121,0,23
544,Yadadri Bhuvanagiri,17.42819665,79.09049097612105,2969,2969,0,0
545,Ariyalur,11.076035950000001,79.11745538182738,107,4331,46,4178
546,Chengalpattu,12.6840886,79.9836371,1239,42801,665,40897
547,Chennai,13.0801721,80.2838331,8859,196378,3596,183923
548,Coimbatore,11.0018115,76.9628425,3753,42084,538,37793
549,Cuddalore,11.74269375,79.75030644171935,716,22997,267,22014
550,Dharmapuri,12.09680475,78.19304301026716,458,5490,49,4983
551,Dindigul,10.3303299,78.0673979084697,254,9737,184,9299
552,Erode,11.369204400000001,77.67662686841793,807,9806,119,8880
553,Kallakurichi,11.7380142,78.963933,241,10170,102,9827
554,Kancheepuram,12.87960515,79.70427615297989,460,25182,377,24345
555,Kanyakumari,8.25,77.25,571,14723,242,13910
556,Karur,10.9301522,78.08485454572889,291,4010,43,3676
557,Krishnagiri,12.5188835,78.2206536,540,6363,104,5719
558,Madurai,9.833333,77.833333,606,18513,415,17492
559,Nagapattinam,10.805627600000001,79.824659783024,361,6517,111,6045
560,Namakkal,11.2191319,78.23739801779963,703,8758,93,7962
561,Nilgiris,11.4,76.7,244,6409,38,6127
562,Perambalur,11.2287716,78.81825554962782,72,2116,21,2023
563,Pudukkottai,10.5,78.833333,215,10464,149,10100
564,Ramanathapuram,9.3895523,78.85907071521498,138,5965,128,5699
565,Ranipet,11.6643,78.146,271,14718,176,14271
566,Salem,44.9391565,-123.033121,1829,26548,406,24313
567,Sivaganga,9.851231,78.53047154820716,135,5814,125,5554
568,Tenkasi,9.031895800000001,77.36536124793122,125,7791,153,7513
569,Thanjavur,10.7860267,79.1381497,368,15056,216,14472
570,Theni,9.969664300000002,77.47420048524822,127,16143,191,15825
571,Thiruvallur,13.13014755,79.92435386254967,1233,37269,615,35421
572,Thiruvarur,10.73618605,79.63318659437627,401,9446,91,8954
573,Thoothukkudi,8.756745200000001,78.07975266019861,500,14817,129,14188
574,Tiruchirappalli,10.804973,78.6870296,499,12297,167,11631
575,Tirunelveli,8.722388,77.710247,309,14106,208,13589
576,Tirupathur,12.453306399999999,78.55290857022919,288,6488,118,6082
577,Tiruppur,11.1017815,77.345192,977,12188,180,11031
578,Tiruvannamalai,12.22721295,79.07015554906167,506,17428,260,16662
579,Vellore,12.7948109,79.0006410968549,424,17567,303,16840
580,Viluppuram,11.9137874,79.50789297942772,455,13544,106,12983
581,Virudhunagar,9.5208936,77.8784563961865,187,15344,220,14937
582,Dhalai,23.8253158,91.9732226716333,176,3232,15,3040
583,Gomati,23.4613369,91.60718003817723,306,3663,38,3318
584,Khowai,24.04673835,91.62320953646798,42,1747,30,1675
585,North Tripura,24.092147599999997,92.24512135019847,137,2535,14,2377
587,South Tripura,23.5,91.666667,372,3224,18,2831
588,Unokoti,24.19098485,92.04604830534434,296,2467,20,2151
589,West Tripura,23.916667,91.5,476,10672,178,10007
590,Agra,27.1752554,78.0098161,371,7030,143,6516
591,Aligarh,27.87698975,78.13729027600994,243,9344,46,9055
592,Ambedkar Nagar,26.40349795,82.60728148676125,140,1708,36,1532
593,Amethi,26.34738315,81.6238783207884,151,2891,26,2714
594,Amroha,28.9233969,78.48831693262684,356,3663,42,3265
595,Auraiya,26.65573395,79.51504701181831,168,2729,35,2526
596,Ayodhya,26.7990707,82.2052321,243,6934,94,6597
597,Azamgarh,26.02269675,83.02887343114848,283,5296,84,4929
598,Baghpat,28.97240405,77.33315284938224,77,1474,24,1373
599,Bahraich,27.7336958,81.47732127661058,179,3637,65,3393
600,Ballia,25.877932549999997,84.11995931460379,403,6679,90,6186
601,Balrampur,25.452,80.5438,116,1777,26,1635
602,Banda,-36.3789925,-60.3855889,220,2646,31,2395
603,Barabanki,26.93823105,81.38609761204991,181,6906,78,6647
604,Bareilly,28.457876,79.40557093743058,572,11799,154,11073
605,Basti,26.724789,82.79326865024002,277,4420,85,4058
606,Bhadohi,25.422922749999998,82.48843708088575,141,1885,18,1726
607,Bijnor,29.40604895,78.48087839917878,267,3467,51,3149
608,Budaun,28.06831165,79.04607312079293,132,3100,41,2927
609,Bulandshahr,28.38886085,77.97479772598118,353,4398,71,3974
610,Chandauli,25.1265777,83.2496557733391,154,3757,44,3559
611,Chitrakoot,25.2195207,81.102282425,178,1726,12,1536
612,Deoria,26.42384715,83.76273169028727,218,6195,83,5894
613,Etah,27.5541146,78.60078640304634,139,2028,20,1869
614,Etawah,26.718324350000003,79.09025375025163,265,4744,72,4407
615,Farrukhabad,27.43719385,79.48912946503123,229,3830,56,3545
616,Fatehpur,25.8435395,80.91800397088501,239,2952,50,2663
617,Firozabad,27.17736635,78.38991197951182,89,2975,60,2826
618,Gautam Buddha Nagar,28.36760975,77.59740326369902,1070,16984,66,15848
619,Ghaziabad,28.711241,77.4445372,1141,18034,82,16811
620,Ghazipur,25.603508400000003,83.50745404887138,211,4389,65,4113
621,Gonda,27.1096669,81.9183291218813,251,4380,51,4078
622,Gorakhpur,26.67132865,83.36458284327038,974,18606,304,17328
623,Hamirpur,25.81986155,79.86324262584287,63,1268,19,1186
624,Hapur,28.740612499999997,77.83542556519009,188,3206,57,2961
625,Hardoi,27.33857665,80.0975264641719,235,5222,91,4896
626,Hathras,27.57324325,78.11173866751716,37,1110,7,1066
627,Jalaun,26.105546,79.42765264782076,170,2824,33,2621
628,Jaunpur,25.7955927,82.48834097504385,223,5724,81,5420
629,Jhansi,25.531031149999997,78.65268901605349,272,8243,168,7803
630,Kannauj,26.999697400000002,79.68861212775874,106,2985,40,2839
631,Kanpur Dehat,26.4600465,79.85550999615592,239,1836,27,1570
632,Kanpur Nagar,26.4402119,80.26930513416637,1035,27602,724,25843
633,Kasganj,27.883846050000002,78.63489003747873,199,1570,4,1367
634,Kaushambi,25.53609455,81.44672838764605,129,1875,23,1723
635,Kushinagar,26.92383485,83.83255026925798,308,5297,54,4935
636,Lakhimpur Kheri,27.985060150000002,80.75384538357649,508,6538,69,5961
637,Lalitpur,24.70038485,78.51866758648349,131,2847,42,2674
638,Lucknow,26.8381,80.9346001,3415,62060,862,57783
639,Maharajganj,27.09254225,83.56696261338257,200,5373,85,5088
640,Mahoba,25.36176885,79.70499475331877,58,1043,9,976
641,Mainpuri,27.2098219,79.04813700847944,153,3083,50,2880
642,Mathura,27.60183935,77.58715876395613,405,4861,100,4356
643,Mau,26.0376878,83.49793418499047,156,2772,35,2581
644,Meerut,28.916667,77.683333,1316,13073,315,11442
645,Mirzapur,24.9356347,82.64770129811649,169,2824,31,2624
646,Moradabad,28.8638424,78.80577833091104,542,10331,165,9624
647,Muzaffarnagar,29.44800635,77.74068502568672,411,5927,79,5437
648,Pilibhit,28.495207649999998,80.10754080018077,73,3688,73,3542
649,Pratapgarh,25.87789395,81.82824248044966,285,4325,53,3987
650,Prayagraj,25.4381302,81.8338005,1318,23313,322,21673
651,Rae Bareli,26.25,81.25,301,3784,93,3390
652,Rampur,28.79406825,79.1859304458554,112,4995,47,4836
653,Saharanpur,29.9880774,77.5081299470512,232,7715,118,7365
654,Sambhal,28.61875255,78.55087405404804,205,2699,39,2455
655,Sant Kabir Nagar,26.7882737,82.9600798,94,2931,40,2797
656,Shahjahanpur,27.912633149999998,79.74656294869826,215,6277,90,5972
657,Shamli,29.5008816,77.34838258540861,138,2805,26,2641
658,Shrawasti,27.2716,82.821,53,1091,13,1025
660,Sitapur,27.5046392,80.82946583420815,274,4182,58,3850
661,Sonbhadra,24.38657525,83.07863061278505,417,3614,50,3147
662,Sultanpur,26.242510850000002,82.29616931685918,272,3875,64,3539
663,Unnao,26.57550365,80.61376177782856,350,3942,74,3518
664,Varanasi,25.3356491,83.0076292,1385,17268,323,15560
665,Almora,29.703094999999998,79.43317023326716,119,1810,9,1657
666,Bageshwar,30.0086722,79.9302967950447,111,892,8,773
667,Chamoli,30.499632300000002,79.61879245944404,192,1701,1,1484
668,Champawat,29.23631315,80.10172076512075,137,1117,6,966
669,Dehradun,30.3255646,78.0436813,983,16861,573,15153
670,Haridwar,29.9384473,78.1452985,424,10864,121,10257
671,Nainital,29.2031392,79.4176945,456,7142,142,6507
672,Pauri Garhwal,29.84591115,78.70766746320547,483,2777,29,2241
673,Pithoragarh,30.12666775,80.48338013734374,180,1427,5,1242
674,Rudraprayag,30.3009965,79.06287964782695,184,1131,2,944
675,Tehri Garhwal,30.5,78.666667,221,2982,5,2744
676,Udham Singh Nagar,29.048098799999998,79.4313133223357,320,9394,91,8889
677,Uttarkashi,30.9654214,78.63368731187963,270,2646,9,2331
678,Alipurduar,26.4851573,89.5246926,429,6251,75,5747
679,Bankura,23.13195425,87.20739720367507,752,7468,71,6645
680,Birbhum,24.0,87.583333,814,5811,51,4946
681,Cooch Behar,26.3223696,89.4592445,978,8135,51,7106
682,Dakshin Dinajpur,25.38703085,88.50471504999999,609,6757,49,6099
683,Darjeeling,27.0383718,88.2617544,1431,10870,138,9301
684,Hooghly,22.9052114,88.3760639,1898,17344,299,15147
685,Howrah,22.5736296,88.3251045,1440,24193,713,22040
686,Jalpaiguri,26.626483649999997,88.73407701468993,1246,8600,85,7269
687,Jhargram,22.3770636,87.04867177362203,371,1642,10,1261
688,Kalimpong,27.07169,88.4729,122,1381,13,1246
689,Kolkata,22.5726723,88.3638815,7253,76808,2125,67430
690,Malda,25.0057449,88.1398483,1057,9279,77,8145
691,Murshidabad,24.1745993,88.2721335,966,8249,93,7190
692,Nadia,23.48454125,88.55676307470536,1898,11355,133,9324
693,North 24 Parganas,22.7182799,88.64248090898516,7093,71831,1497,63241
694,Paschim Bardhaman,23.64260775,87.16448126068323,1181,9785,94,8510
695,Paschim Medinipur,22.3599134,87.41331447600871,1741,13463,202,11520
696,Purba Bardhaman,23.391717,87.90621212355462,1115,7311,71,6125
697,Purba Medinipur,22.06382145,87.74573460267038,1390,14275,181,12704
698,Purulia,23.032189,89.5911025,619,4983,26,4338
699,South 24 Parganas,22.1815262,88.53780483989941,2446,23359,438,20475
700,Uttar Dinajpur,25.8707958,87.96259728449391,341,4606,51,4214
701,North and Middle Andaman,12.61123865,92.83165406414926,0,1,0,1
702,South Andaman,10.7056905,92.48746789633373,19,51,0,32
703,Anantapur,14.6546235,77.55625984224562,1258,63719,551,61910
704,Chittoor,13.1601048,79.15555061803596,3018,76849,769,73062
705,East Godavari,17.233496,81.7225986,5069,113673,603,108001
706,Guntur,16.2915189,80.4541588,3614,65346,609,61123
707,Krishna,16.6691525,80.7190024,3414,37222,551,33257
708,Kurnool,15.8309251,78.0425373,520,59286,481,58285
709,Prakasam,14.4426,79.9865,2159,58663,567,55937
711,Srikakulam,18.32002205,83.91607719937166,1133,43551,339,42079
712,Visakhapatnam,17.7231276,83.3012842,2150,55209,502,52557
713,Vizianagaram,18.1120819,83.4052196224888,406,38953,228,38319
714,West Godavari,17.0,81.166667,4221,83224,490,78513
715,Y.S.R. Kadapa,14.4752936,78.8216861,1576,51252,431,49245
716,Anjaw,28.1114301,96.82699963398373,3,163,0,160
717,Changlang,27.1398402,95.7382485,50,1128,3,1075
718,East Kameng,27.3,93.05,5,300,0,295
719,East Siang,28.3,95.15,110,886,4,772
720,Kamle,27.629,84.7645667,4,25,0,21
721,Kra Daadi,27.96354175,93.76656538768381,4,33,0,29
722,Kurung Kumey,27.98636765,93.15783468644102,0,107,0,107
723,Lepa Rada,27.9211266,94.74093620019156,10,179,0,169
724,Lohit,28.035016149999997,96.17135154220676,97,513,0,416
725,Longding,26.879454600000003,95.3155652456941,13,222,0,209
726,Lower Dibang Valley,28.21495625,95.87877403567019,60,350,0,290
727,Lower Siang,27.80069825,94.56502334121075,3,272,0,269
728,Lower Subansiri,27.8,93.6,24,310,1,285
729,Namsai,27.71403055,96.01597093953018,69,364,3,292
730,Pakke Kessang,27.15828555,93.15615024389129,10,107,0,97
731,Papum Pare,27.286366649999998,93.61875168206382,1189,6106,17,4900
732,Shi Yomi,28.68516625,94.23678241115617,2,29,0,27
733,Siang,28.477491999999998,94.81655728795752,35,101,0,66
734,Tawang,27.5879186,91.863733,24,352,1,327
735,Tirap,27.03016895,95.49791754505583,51,517,0,466
736,Upper Dibang Valley,28.7,95.7,1,21,0,20
737,Upper Siang,28.73120455,95.03773151350946,68,269,0,201
738,Upper Subansiri,28.3,94.0,56,398,1,341
739,West Kameng,27.4,92.35,98,699,3,598
740,West Siang,28.4,94.55,188,940,2,750
